[06/04/2020 15:15:41 - INFO - __main__ - 323] reading data/run1.B1phi1.i1.seqwish.w100.json...
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1161
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 18
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1616
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1615
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2186
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2148
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1927
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1617
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1470
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1204
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1162
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1613
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1986
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1618
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1649
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 635
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 881
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 880
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 879
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1647
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1604
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1648
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1605
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1603
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1646
